DocI	tf
4	4
6	6
9	1
10	2
11	2
12	1
13	3
14	1
18	1
21	1
22	4
23	3
24	1
25	5
28	3
30	3
31	1
32	1
33	1
34	1
36	3
38	1
40	5
42	2
43	1
44	4
45	2
46	1
47	3
48	1
49	3
50	4
52	1
53	2
54	1
55	4
56	1
57	6
58	3
60	7
61	1
63	2
65	3
66	2
67	1
69	1
70	1
71	1
72	1
73	2
74	2
75	3
76	1
77	1
78	5
79	6
80	4
81	2
82	1
83	1
84	3
86	1
87	1
88	3
89	1
90	2
92	1
93	1
94	1
95	2
96	2
97	2
98	5
101	1
102	1
103	1
104	3
105	5
106	1
107	4
110	1
111	3
112	2
113	9
114	5
115	2
116	2
117	1
119	2
120	2
121	2
122	2
124	1
126	2
127	9
129	2
130	1
50	2
95	1
10	1
46	1
18	1
27	1
70	1
106	1
110	1
58	1
8	1
20	1
79	1
115	1
17	1
60	2
16	1
11	1
16	2
18	1
21	1
30	1
33	1
40	1
43	1
44	1
49	2
70	1
74	1
78	1
89	1
90	1
92	1
113	1
114	1
120	1
49	1
80	1
30	1
37	1
53	1
57	2
60	2
66	1
81	1
95	1
97	1
103	1
113	1
115	1
119	1
65	1
70	1
102	1
124	1
30	1
60	1
61	1
62	1
75	1
97	1
98	1
56	1
18	1
2	1
3	1
6	2
10	1
11	1
13	1
18	2
28	1
37	1
38	2
45	1
46	1
47	1
48	3
54	1
56	1
60	11
62	1
65	1
68	1
70	1
74	2
78	1
82	1
85	1
87	1
89	1
90	1
98	2
107	2
112	1
113	4
114	1
116	1
119	1
120	4
122	1
124	1
127	1
128	2
54	1
44	1
53	1
48	1
94	1
2	1
119	1
130	2
49	3
30	3
49	1
89	1
12	1
96	1
130	1
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	2
39	2
40	2
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
60	2
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	3
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	2
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	2
101	2
102	3
103	2
104	2
105	2
106	2
107	2
108	2
109	2
110	2
111	2
112	2
113	2
114	2
115	2
116	2
117	2
118	2
119	2
120	2
121	2
122	2
124	2
126	2
127	2
128	2
129	3
130	2
99	1
58	2
64	1
52	1
113	1
96	1
97	1
103	1
114	1
119	1
127	1
128	1
6	1
25	7
18	1
21	2
26	1
44	1
79	1
113	1
120	1
121	1
86	1
58	1
20	1
38	1
42	1
49	1
56	1
57	1
58	1
78	1
79	1
90	1
104	1
115	2
44	1
58	1
79	1
95	1
84	1
93	1
8	1
72	1
4	1
56	2
27	2
30	1
49	2
65	1
66	1
75	1
4	1
21	1
30	1
34	1
38	1
39	1
46	3
48	1
50	2
60	1
63	1
65	1
68	1
71	1
74	1
80	1
92	1
94	1
97	1
98	1
99	1
107	1
124	1
127	1
129	1
95	1
106	1
7	1
26	1
27	1
49	1
25	1
52	2
102	12
49	1
58	1
6	1
55	1
18	2
19	2
20	1
36	1
44	1
68	2
97	1
99	1
122	1
90	4
97	1
99	6
111	1
122	3
130	1
97	1
20	2
89	1
2	1
4	1
5	2
6	1
7	2
18	1
20	1
25	1
27	1
34	3
36	1
39	1
49	1
60	5
62	1
64	1
66	1
69	1
70	2
80	4
81	1
82	3
85	1
87	1
88	2
89	1
92	1
99	1
105	2
106	1
108	1
110	1
111	1
113	3
116	1
117	1
118	1
119	1
120	2
122	1
124	3
127	8
128	6
60	1
77	1
60	4
95	1
96	1
103	1
106	1
120	1
28	1
26	1
3	1
7	3
10	2
19	1
20	1
31	1
32	1
36	1
38	1
44	1
45	1
49	1
52	2
55	3
58	1
60	1
63	1
71	1
82	2
83	1
85	1
93	1
96	1
97	3
103	1
113	4
116	1
117	1
127	1
128	1
129	2
55	1
102	1
21	1
79	1
121	3
53	1
31	1
26	1
26	1
60	1
119	1
124	1
49	1
65	2
95	1
98	8
95	2
90	1
11	1
14	1
56	5
112	6
126	2
34	1
56	2
88	1
92	1
33	3
84	1
109	1
42	1
60	1
118	1
37	1
20	1
33	2
58	1
84	1
85	1
78	1
62	1
85	1
107	1
108	1
5	1
34	1
107	1
113	1
27	1
80	1
60	1
62	1
74	1
85	2
86	1
115	1
47	1
110	1
14	1
18	1
124	1
73	1
49	3
49	1
19	1
21	1
33	1
38	1
44	1
46	1
49	1
58	1
60	1
64	2
66	3
68	1
75	1
78	1
79	2
89	1
90	1
92	1
95	1
121	1
129	1
27	2
50	1
117	1
80	1
115	1
97	1
18	1
21	1
2	2
10	1
36	1
39	1
50	1
65	1
70	1
75	2
78	1
97	1
104	1
111	1
113	2
107	1
24	1
130	1
27	9
50	1
57	2
23	1
36	1
56	1
111	1
6	1
70	1
60	1
60	1
78	1
85	1
90	1
102	1
113	1
115	1
119	1
126	1
16	3
49	1
83	1
87	1
90	1
14	2
58	1
14	1
2	2
3	1
4	7
5	4
6	4
11	1
12	5
13	6
14	2
16	2
17	4
18	1
19	2
20	7
21	5
22	2
23	2
24	4
25	3
26	5
27	6
28	5
30	2
31	7
33	2
34	2
35	1
36	3
38	10
39	2
40	3
42	1
43	1
44	3
45	1
46	3
48	5
49	4
50	3
52	4
53	4
54	1
55	2
56	2
57	7
58	6
60	17
61	9
62	3
63	1
64	4
65	4
66	3
67	3
68	2
69	4
70	3
71	4
72	1
73	3
74	9
75	6
76	2
77	3
78	4
79	10
80	7
81	3
83	4
84	3
85	2
86	2
87	2
88	1
89	2
90	3
92	4
93	1
94	2
95	5
96	4
97	1
98	3
99	2
102	1
103	6
104	4
105	5
106	1
107	4
108	2
109	1
110	1
111	2
112	4
113	10
114	1
115	3
116	5
117	4
119	5
120	7
121	3
124	3
126	2
128	2
129	8
130	2
30	1
111	1
127	12
128	12
32	1
60	2
74	1
97	2
104	1
114	1
8	1
17	2
34	1
42	1
58	1
63	1
75	1
93	1
97	1
107	1
109	1
65	1
120	1
30	1
61	6
62	2
23	1
27	1
32	2
34	1
36	1
48	1
54	1
63	1
65	1
70	1
89	1
97	1
98	1
103	6
118	1
124	1
